okay
usfda
more
approvals
weaker
rupee
positive
step
resolution
successful
stellar
better
much
margins
favourable
approval
tough
reported
lower
than
expected
sales
affecting
growth
difficult
one
pricing
pressure
declined
dull
significant
violations
letter
issued
warning
adulterated
potentially
contaminated
failed
warned
legal
action
weak
price
erosion
slowdown
sanctions
concerns
drag
on
drop
challenging
toll
uncertain
recall
health
stability
initiated
