,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
4,gradient,1.0937007100021383,1.0303812198150757,1.0,1000.0,0.1919102668762207,Decay,0.01,0.0001,default_notext
5,gradient,1.0943814870119482,1.0311238259622173,1.0,1000.0,0.12694287300109863,Decay,0.01,0.0005,default_notext
58,gradient,1.0951972537352117,1.031677637307028,0.0,1000.0,0.16078472137451172,Decay,0.01,0.0001,default_notext
61,gradient,1.0953534565410326,1.0318327364345132,0.0,1000.0,0.13937616348266602,Momentum,0.01,0.8,default_notext
63,gradient,1.1003128614728224,1.0359864599412738,0.0,1000.0,0.14167022705078125,Momentum,0.01,0.999,default_notext
63,gradient,1.105000654960002,1.0390524540467605,0.0,1000.0,0.8357758522033691,Momentum,0.01,0.999,default_top60
62,gradient,1.105663368073829,1.0404777748884861,0.0,1000.0,0.14838814735412598,Momentum,0.01,0.9,default_notext
3,gradient,1.1066421352660472,1.0457829462387886,1.0,1000.0,0.14807701110839844,Decay,0.01,0.01,default_notext
55,gradient,1.1164773142764093,1.0492394526711992,0.0,1000.0,0.12980985641479492,LearningRate,0.01,,default_notext
60,gradient,1.1166842035902584,1.0496383280435124,0.0,1000.0,0.15342211723327637,Momentum,0.01,0.7,default_notext
59,gradient,1.1158766539377296,1.0501524808343443,0.0,1000.0,0.13222408294677734,Decay,0.01,0.0005,default_notext
58,gradient,1.120010169338409,1.0511646679902673,0.0,1000.0,0.8716127872467041,Decay,0.01,0.0001,default_top60
10,gradient,1.1223565075534712,1.0646609660109556,1.0,1000.0,3.550671100616455,LearningRate,0.001,,default_top160
15,gradient,1.1223596642457963,1.0646694116278437,1.0,1000.0,3.5774049758911133,Momentum,0.001,0.7,default_top160
16,gradient,1.1223601163690837,1.0646706183508785,1.0,1000.0,3.517180919647217,Momentum,0.001,0.8,default_top160
17,gradient,1.1223605687837457,1.0646718251237444,1.0,1000.0,3.5741348266601562,Momentum,0.001,0.9,default_top160
18,gradient,1.1223610169611338,1.0646730198773897,1.0,1000.0,3.6832940578460693,Momentum,0.001,0.999,default_top160
13,gradient,1.1248988960114152,1.0676154390445163,1.0,1000.0,3.5775301456451416,Decay,0.001,0.0001,default_top160
10,gradient,1.1250024262934304,1.0677764729808064,1.0,1000.0,0.8682248592376709,LearningRate,0.001,,default_top60
15,gradient,1.1250049186102096,1.0677842135549012,1.0,1000.0,0.8178818225860596,Momentum,0.001,0.7,default_top60
16,gradient,1.1250052758489797,1.0677853195435696,1.0,1000.0,0.8531482219696045,Momentum,0.001,0.8,default_top60
17,gradient,1.1250056333857108,1.0677864255786116,1.0,1000.0,0.832963228225708,Momentum,0.001,0.9,default_top60
18,gradient,1.125005987640442,1.0677875205984184,1.0,1000.0,0.7629690170288086,Momentum,0.001,0.999,default_top60
13,gradient,1.1274842784761636,1.0706648631729536,1.0,1000.0,0.7884988784790039,Decay,0.001,0.0001,default_top60
10,gradient,1.1289151769500494,1.0713649152025055,1.0,1000.0,0.14210295677185059,LearningRate,0.001,,default_notext
