,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
5,gradient,1.067753150412245,1.001497938817687,True,1000,3.70452618598938,Momentum,0.01,0.7,default_tfidf
0,gradient,1.0677505332682582,1.0015010947424563,True,1000,3.3944528102874756,LearningRate,0.01,,default_tfidf
3,gradient,1.0681796626410995,1.0017413751031075,True,1000,3.4539027214050293,Decay,0.01,0.0001,default_tfidf
4,gradient,1.0696626736798514,1.002729822857951,True,1000,3.687213182449341,Decay,0.01,0.0005,default_tfidf
0,closed-form,1.0595842691797983,1.0038257316514585,,,0.01015329360961914,,,,default_noroot
9,gradient,1.0771721670941927,1.0151874287576828,1.0,1000.0,4.297279119491577,Momentum,0.01,0.999,only_children_text
8,gradient,1.0771720529575952,1.015187784847292,1.0,1000.0,3.9699580669403076,Momentum,0.01,0.9,only_children_text
7,gradient,1.0771719376299127,1.0151881444484694,1.0,1000.0,4.455961227416992,Momentum,0.01,0.8,only_children_text
6,gradient,1.0771718222638618,1.015188503964189,1.0,1000.0,4.073310136795044,Momentum,0.01,0.7,only_children_text
1,gradient,1.077171013628345,1.0151910182041461,1.0,1000.0,3.9154160022735596,LearningRate,0.01,,only_children_text
4,gradient,1.0775358011223255,1.0152850666496296,1.0,1000.0,3.5172059535980225,Decay,0.01,0.0001,only_children_text
5,gradient,1.0788431771509082,1.015761802732717,1.0,1000.0,4.232439041137695,Decay,0.01,0.0005,only_children_text
62,gradient,1.0958314514113876,1.0203217958995583,0.0,1000.0,0.8219430446624756,Momentum,0.01,0.9,default_top60
0,closed-form,1.0846830709157251,1.0203266848431447,,,0.006670236587524414,,,,default_notext
55,gradient,1.0963621429071977,1.0209061442373832,0.0,1000.0,0.8524761199951172,LearningRate,0.01,,default_top60
18,gradient,1.067757196792955,1.021368209190396,1.0,1000.0,4.023309946060181,Momentum,0.001,0.999,square
17,gradient,1.067761318411929,1.0213709078618542,1.0,1000.0,4.212740898132324,Momentum,0.001,0.9,square
16,gradient,1.067765480559314,1.0213736332391692,1.0,1000.0,3.8775980472564697,Momentum,0.001,0.8,square
15,gradient,1.0677696415965428,1.021376358059604,1.0,1000.0,4.146191120147705,Momentum,0.001,0.7,square
59,gradient,1.1098955563003474,1.0229021372887936,False,1000,1.3355748653411865,Momentum,0.01,0.7,default_feeling
3,gradient,1.088200195954605,1.0235825884059975,1.0,1000.0,4.035584926605225,Decay,0.01,0.01,default_top160
0,closed-form,1.0713771195391049,1.024129073120601,,,0.009061813354492188,,,,only_children_text
60,gradient,1.0917868480123618,1.0243914045491016,0.0,1000.0,0.7911770343780518,Momentum,0.01,0.7,default_top60
3,gradient,1.0893380172127043,1.0245937341365474,1.0,1000.0,4.007766962051392,Decay,0.01,0.01,default_noroot
61,gradient,1.101885810181258,1.0249613162299354,0.0,1000.0,0.8379619121551514,Momentum,0.01,0.8,default_top60
2,gradient,1.0901193975645804,1.0255730178069788,True,1000,3.346871852874756,Decay,0.01,0.01,default_tfidf
3,gradient,1.0910122726468803,1.0260471702069318,1.0,1000.0,3.4984169006347656,Decay,0.01,0.01,only_children_text
3,gradient,1.0923547290356752,1.0279730661432505,1.0,1000.0,0.8048717975616455,Decay,0.01,0.01,default_top60
86,gradient,1.068801385041249,1.0283469809026442,0.0,55.0,0.010996103286743164,Decay,0.0001,0.0005,only_children_square
86,gradient,1.068801385041249,1.0283469809026442,0.0,55.0,0.010996103286743164,Decay,0.0001,0.0005,only_children_square
72,gradient,1.0630909076992818,1.028378896996866,0.0,1000.0,0.21629595756530762,Momentum,0.001,0.999,only_children_square
72,gradient,1.0630909076992818,1.028378896996866,0.0,1000.0,0.21629595756530762,Momentum,0.001,0.999,only_children_square
